Filter SHA results: L, M: 10, 06
Date,Center time,Clm_r,Slm_r,Clm_th,Slm_th,Clm_ph,Slm_ph
2010-01-01,12:00,0.126821,-0.332831,-1.2566,-0.363388,1.01579,-0.261948
2010-01-07,06:00,-1.3268,0.687634,-0.373838,0.594318,-0.099747,-0.886529
2010-01-08,21:00,0.739514,-0.380824,-0.305544,0.415989,0.687513,-2.10692
2010-02-09,03:00,-0.388164,0.247514,-0.223868,-0.529135,0.369892,-0.90081
2010-02-20,18:00,-1.17332,1.77686,-1.71425,1.1503,-0.0914166,0.556668
2010-02-27,03:00,-1.54662,0.474615,1.05762,1.45642,0.858349,0.451607
2010-02-28,09:00,-0.80867,-1.14783,0.188828,0.872189,0.827223,0.588538
2010-03-09,09:00,0.994874,-0.0677586,-0.866134,-0.15337,-0.554091,-0.884506
2010-03-18,18:00,-0.0776848,-0.210594,-2.06811,-2.21211,-1.618,0.854968
2010-03-22,03:00,-1.16454,-0.418795,-0.00403496,1.17082,0.846517,-1.75356
2010-03-24,00:00,-0.546885,0.763551,-3.85377,0.562567,-0.840792,0.0461049
2010-03-27,15:00,-0.386934,0.235804,0.816548,1.14034,0.557827,0.20012
2010-04-18,18:00,-0.391252,-0.419762,-0.716482,0.328928,1.49486,-0.496997
2010-04-25,21:00,-0.0519559,-0.647408,-0.15487,-1.78358,-0.627364,-1.53689
2010-04-27,18:00,-0.472338,0.00332937,-1.79948,0.601384,-0.828291,0.380385
2010-05-14,03:00,-1.09781,-1.46052,-0.507614,-0.932789,-0.513752,-0.708384
2010-05-16,03:00,-0.583056,-0.799789,0.584166,-2.03042,-0.287666,0.276892
2010-05-23,00:00,0.09046,-0.597024,0.483551,-2.353,0.870594,-1.96727
2010-05-24,09:00,-0.723126,-1.14676,1.3351,-2.35775,1.41239,-1.14691
2010-05-27,15:00,-0.881269,-0.868672,-0.396468,0.307668,0.134465,-0.149991
2010-06-12,18:00,-0.456454,0.200949,0.240387,0.685888,-0.0582912,-0.561709
2010-06-20,09:00,-1.20838,-0.209235,-0.873627,1.47011,0.077123,-0.340157
2010-06-21,21:00,-1.90192,0.487054,-1.0495,-1.24541,1.29854,-1.27043
2010-07-07,00:00,-0.700704,0.532942,0.339398,0.827611,0.467205,-0.961706
2010-07-11,00:00,0.0750486,-0.747176,0.440763,-0.910701,0.25335,-1.71277
2010-07-17,03:00,0.271296,-0.32806,-1.37328,-1.86705,0.414974,0.400926
2010-07-18,03:00,-0.250925,1.20915,-0.101287,0.880044,-0.561489,-1.36775
2010-07-19,03:00,-0.683977,-0.237064,-2.93269,-0.912576,-1.14822,0.19849
2010-08-20,00:00,-0.115928,-0.270983,-0.605618,1.10915,-0.284961,-0.113025
2010-08-30,03:00,-1.84254,-1.1323,1.08579,-0.875195,-0.653268,0.819007
2010-08-31,06:00,-1.07424,-1.6578,-0.351746,0.749504,1.28835,-0.361687
2010-09-01,00:00,-0.529481,-2.49038,-0.871982,1.14417,0.80108,-0.266908
